petrol,diesel,kerosene(y1),x
94.03,87.45,75.83,45.18
95.67,88.71,77.51,45.45
98.08,91.72,79.52,45.39
102.44,94.53,83.97,54.48
111.17,107.52,90.91,57.79
115.35,108.02,92.61,54.22
114.93,106.3,85.71,53.92
115.39,106.12,86.16,55.02
117.22,108.97,88.96,50.38
117.75,108.77,88.29,51.83
120.5,110.94,89.95,54.98
124.13,114.3,94.87,57.25
119.06,110.98,90.74,53.72
111.95,107.9,87.11,54.45
111.32,105.29,83.74,53.47
111.69,105.12,84.13,55.42
118.5,108.8,86.28,54.06
121.43,108.44,87,50.29
117.67,105.51,83.2,43.89
108.46,97.51,74.4,46.52
106.48,97.08,73.97,49.78
108.95,101.07,79.65,50.3
115.26,106.11,86.01,47.91
113.68,105.85,84.57,46.6
112.61,105.79,86.44,47.52
111.6,103.99,83.86,51.79
113.57,106.2,85.93,52.42
117.69,107.37,88.54,50.17
117.65,106.44,83.83,48.73
113.24,101.06,79.46,50.02
108.18,99.16,81.52,51.5
109.52,102.86,79.49,57.18
112.26,104.44,83.93,58.65
113.88,105.55,85.56,58.44
112.27,104.47,85.01,53.95
108.87,103.25,82.79,50.83
109.28,104.52,83.07,53
110.59,104.73,85.07,51.31
111.55,105.8,83.07,54.71
113.61,104.87,83.91,54.83
114.16,103.82,83.16,55.67
114.16,104.71,82.81,56.18
114.73,104.81,83.13,58.3
115.86,104.67,84.12,57.19
116.62,102.98,83.05,53.5
111.64,102.36,81.63,52.08
110.89,100.67,80.88,47.37
106.8,94.52,76.31,42.89
102.01,90.85,71.37,33.73
92.88,83.35,65.59,27.13
84.71,75.52,52.4,29.11
89.46,76.2,55.75,27.59
89.35,77.48,57.21,33.38
92.89,79.34,59.24,35.93
97.28,83.31,61.78,36.76
98.59,84.56,62.74,32.4
102.65,83.35,57.98,27.62
102.65,79.99,52.58,30.11
93.29,83.43,56.04,29.88
90.46,79.66,54.8,27.27
90.06,78.51,53.2,23.9
88.64,76.7,46.13,20.39
86.5,67.88,39.62,19.44
85.58,65.7,42.15,23.97
80.71,66.23,43.96,25.95
84.25,70.37,46.98,29.59
86.17,73.71,50.8,31.02
92.93,83.24,61.45,28.46
95.13,84.51,62.48,28.73
91.39,82.46,59.1,28.75
91.56,82.12,58.71,31.38
94.94,82.17,62.16,28.99
94.2,87.22,63.56,33.68
96.01,84.23,63.44,35.05
100.2,89.26,67.19,35.4
101.05,90.44,67.9,32.97
99.59,88.05,65.28,33.83
99.59,88.05,65.28,32.39
98.73,86.89,65.35,31.74
97.1,84.46,62.56,32.34
96.08,85.86,63.42,31.47
98.3,86.86,61.63,34.37
101.67,88.71,66.18,35.67
102.7,92.41,71.23,40.92
104.1,92.44,71.42,41.78
106.3,94.82,74.78,44.08
107.92,96.96,76.75,40.82
104.7,92.44,71.42,40.42
106.83,97.86,76.72,40.11
107.17,98.64,78.22,43.48
108.81,103.6,84.1,49.05
112.2,103.25,85.73,48.28
127.8,115.08,97.41,47.54
116.79,108.12,108.41,50.98
115.73,109.72,108.84,52.37
118.11,112.83,111.83,43.81
113.54,112.28,105.22,38.23
104.21,102.24,101.7,38.83
100.09,95.96,96.5,41.8
101.35,96.61,99.46,43.35
106.6,102.13,102.22,46.5
112.03,104.37,104.62,46.05
115.1,104.76,104.28,41.53
115.39,103.88,101.97,42.98
112.53,100.6,103.95,40.53
112.81,103.04,100.64,40.76
108.05,101.96,101.08,41.42
110.59,104.61,104.06,42.81
109.5,101.78,102.31,44.13
110.2,102.32,103.95,43.06
112.87,104.45,102.69,35.73
110.87,101.65,95.46,23.29
92.87,97.56,77.28,11.85
83.33,78.37,79.77,15.78
89.1,74.57,62.46,24.34
100.48,91.87,65.45,29.93
103.95,94.63,83.65,31.05
106.55,95.09,83.73,28.93
107.27,92.91,83.73,27.57
105.85,90.7,81.63,29.88
106.82,91.82,83.56,34.46
106.99,96.4,87.12,38.2
115.18,101.91,92.44,42.5
122.81,107.66,97.85,44.93
122.81,107.66,97.85,43.37
126.37,107.66,97.85,45.83
127.14,107.66,97.85,42.96
127.14,107.66,97.85,45.42
127.14,107.66,97.85,49.8
134.72,115.6,110.82,50.95
129.72,110.6,103.54,48.73
129.72,110.6,103.54,51.87
129.72,110.6,103.54,58.87
129.72,110.6,103.54,58.6
129.72,110.6,103.54,53.22
134.72,115.6,103.54,61.35
144.62,125.5,113.44,68.42
150.12,131,118.94,82.7
159.12,140,127.94,77.76
159.12,140,127.94,82.73
159.12,140,127.94,89.18
179.3,165,147.94,82.56
178.3,163,146.94,76.52
177.3,162,145.94,72.22
177.3,162,145.94,75.64
177.3,162,145.94,74.69
177.3,162,145.94,67.51
179.3,162,145.94,72.56
179.3,162,145.94,72.86
182.7,168.4,161.13,70.75
182.04,167.28,161.48,76.44
195.53,179.67,173.44,69.45
194.68,179.67,169.48,69.45
194.68,179.67,169.48,70.85
211.64,200.99,202.61,77.86
217.36,205.47,205.06,85.44
217.36,203.47,203.06,85.44
